decoherence;lde_success;probabilistic;measurement_duration;lde_duration;use_swap_gates;network_noise_type;T1_idle;T2_idle;T1_lde;T2_lde;T1_idle_electron;T2_idle_electron;gate;pg;pm;pn;pm_1;fixed_lde_attempts;pulse_duration;noise;basis_transformation_noise;no_single_qubit_error;avg_duration;avg_fidelity;dur_std;fid_entanglement;fid_int;fid_sem;fid_std_l;fid_std_r;iterations;node
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;0.5;0.5;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.12781011109777568;0.8230991715676407;(0.06950400000000001, 0.188);0.778873964459547;(0.665168287560289, 0.8856936067767898);0.0005071876193981703;0.0909645415194078;0.0854557138537928;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;1.0;1.0;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;0;0.0;True;False;True;0.10610934481517043;0.8724045323756056;(0.05682999999999999, 0.15634800000000001);0.8405056654695053;(0.7785657183162469, 0.9000705270075373);0.0002976670693465852;0.04955195772260934;0.04765188923042296;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;1.0;1.0;1.0;1000.0;cnot;0.01;0.01;0.1;0.01;2000;0.001;True;False;True;0.12769383061289807;0.8718328452931601;(0.06950400000000001, 0.188);0.8397910566164543;(0.7782113569459352, 0.8990439991543032);0.00029819761139524703;0.04926375973641206;0.047402354030282146;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.0;0.1;0.0;0;0.0;True;False;True;0.10600121507441192;0.9275009885773532;(0.05676799999999999, 0.15674800000000003);0.9093762357216841;(0.875288057130624, 0.942148041412292);0.00017153905414423286;0.027270542872854797;0.02621744455247954;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.0;0.1;0.0;2000;0.013;True;False;True;0.1702966903104497;0.9251387238892139;(0.08150400000000002, 0.26);0.9064234048615235;(0.8716999454377643, 0.9403315922240514);0.00017694150026945923;0.027778767539002103;0.027126549890027496;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.05;0.01;0;0.0;True;False;True;0.10622271779484717;0.9318448076360525;(0.056602, 0.15685200000000002);0.9148060095450683;(0.8803877153446056, 0.9481341298229381);0.00017380988677035168;0.027534635360366932;0.026662496222299215;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.05;0.01;2000;0.013;True;False;True;0.17095798595775324;0.9293516477850291;(0.08150400000000002, 0.26);0.9116895597312815;(0.8761760415705192, 0.946128845885497);0.00017791410720179;0.028410814528613382;0.027551428923369037;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.05;0.05;0;0.0;True;False;True;0.10659873475756122;0.9029921321078795;(0.05684399999999999, 0.15721400000000002);0.8787401651348511;(0.8381721832265693, 0.9165738492493303);0.00020004707173982916;0.03245438552662283;0.030266947291585966;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.05;0.05;2000;0.013;True;False;True;0.1695291290606497;0.9013009972182117;(0.08150400000000002, 0.26);0.8766262465227667;(0.8356286756266672, 0.914958606724434);0.00020397925245020207;0.032798056716876633;0.030665888161336752;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.1;0.01;0;0.0;True;False;True;0.10579140642502803;0.9136094694783058;(0.056555999999999995, 0.15618800000000002);0.8920118368478775;(0.8588081344296081, 0.9240936814085609);0.00016645080113166362;0.02656296193462082;0.02566547564854127;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.0;0.01;0.1;0.01;2000;0.013;True;False;True;0.17048660669707152;0.9111269705408729;(0.08150400000000002, 0.26);0.8889087131760923;(0.8547079480444374, 0.9222988628875347);0.00017321460631353997;0.027360612105323923;0.026712119769153997;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.001;0.1;0.001;0;0.0;True;False;True;0.10641986677868459;0.9245442785720298;(0.056785999999999996, 0.15781000000000003);0.9056803482150325;(0.8713430287080326, 0.9386633322430777);0.00017097370560047108;0.02746985560560289;0.02638638722243325;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.001;0.1;0.001;2000;0.013;True;False;True;0.17010223099695954;0.9224916877405415;(0.08150400000000002, 0.26);0.9031146096756734;(0.8687417842180234, 0.9368314664752865);0.00017548708028621506;0.027498260366122018;0.026973485439688583;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.05;0.01;0;0.0;True;False;True;0.10655336101776283;0.9302952289779691;(0.056859999999999994, 0.15762400000000004);0.9128690362224593;(0.8784380555543354, 0.9463191924474035);0.00017353198240863688;0.027544784534499156;0.02676012497995528;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.05;0.01;2000;0.013;True;False;True;0.1701099717154745;0.9283161269410855;(0.08150400000000002, 0.26);0.9103951586763522;(0.8749145159251283, 0.9444832842194896);0.00017767471246334798;0.028384514200983868;0.027270500434505185;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.05;0.05;0;0.0;True;False;True;0.1063327570011202;0.9020255289192203;(0.05686599999999999, 0.15723);0.8775319111490296;(0.8371396361479073, 0.9152751507683944);0.00020147318333623638;0.032313820000898;0.030194591695491768;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.05;0.05;2000;0.013;True;False;True;0.16962135429668748;0.899830067508476;(0.08150400000000002, 0.26);0.874787584385589;(0.8335309901771302, 0.9131926707007293);0.0002026109738879723;0.03300527536677189;0.03072406905210734;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.1;0.01;0;0.0;True;False;True;0.1067351819891183;0.9118425156514945;(0.056831999999999994, 0.15736000000000003);0.8898031445643616;(0.8565223011251486, 0.9222560575952877);0.00016868003547958294;0.026624674751377198;0.025962330424733948;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.001;0.01;0.1;0.01;2000;0.013;True;False;True;0.1699289819171068;0.9100606713401234;(0.08150400000000002, 0.26);0.8875758391751556;(0.8534746497461616, 0.9205782198946643);0.00017166303140919524;0.027280951543196985;0.026401904575605095;49992.0;Purified
True;0.0001;True;4e-06;6e-06;True;1;600.0;10.0;2.0;2.0;1.0;1000.0;cnot;0.005;0.005;0.1;0.005;0;0.0;True;False;True;0.10598515518482958;0.9138657026674585;(0.056828, 0.15643000000000004);0.892332128334312;(0.8591986918698686, 0.9244040174897928);0.00016673273428225536;0.026506749171558597;0.025657511324380655;49992.0;Purified
