error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.0509160647977781;0.0509160647977781;2.0;28.0;14.0;46.05;23.025;0.9578135391572992;dyn_prot_4_14_1;[20, 18, 16, 14];0.0065;0.0065;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9117534641870346;0.9117534641870346;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0033656622944358543;0.009493359604419774;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0033656622944358543;0.009822368858417602;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0033656622944358543;0.0033656622944358543;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0033656622944358543;0.0033656622944358543;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.009493359604419774;0.0033656622944358543;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.009822368858417602;0.0033656622944358543;;;;;;;;;;;;;;;;;;;;;
IIXX;True;8.837758624208612e-06;0.0018740109519388413;;;;;;;;;;;;;;;;;;;;;
IIXX;False;8.837758624208612e-06;0.0023460050983196354;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.7675517248417227e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.7675517248417227e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;6.507587935938675e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;6.507587935938675e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;6.507587935938675e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;6.507587935938675e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;8.837758624208612e-06;8.837758624208612e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;8.837758624208612e-06;8.837758624208612e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;6.507587935938675e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;6.507587935938675e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;6.507587935938675e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;6.507587935938675e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.7675517248417227e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.7675517248417227e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0018740109519388413;8.837758624208612e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.0023460050983196354;8.837758624208612e-06;;;;;;;;;;;;;;;;;;;;;
