error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.059912666622067304;0.059912666622067304;1.0;22.0;22.0;33.0;33.0;0.9550542791859451;expedient;[18, 16, 14, 12];0.00575;0.00575;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.914602732156249;0.914602732156249;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0030076919832793484;0.006458705875561387;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0030076919832793484;0.006525431007640702;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0030076919832793484;0.0030076919832793484;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0030076919832793484;0.0030076919832793484;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.006458705875561387;0.0030076919832793484;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.006525431007640702;0.0030076919832793484;;;;;;;;;;;;;;;;;;;;;
IIXX;True;6.9626937890784705e-06;0.00011833086288840964;;;;;;;;;;;;;;;;;;;;;
IIXX;False;6.9626937890784705e-06;0.00017177820285150733;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.3925387578156944e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.3925387578156944e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;3.0847782499297723e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;3.0847782499297723e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;3.0847782499297723e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;3.0847782499297723e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;6.9626937890784705e-06;6.9626937890784705e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;6.9626937890784705e-06;6.9626937890784705e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;3.0847782499297723e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;3.0847782499297723e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;3.0847782499297723e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;3.0847782499297723e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.3925387578156944e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.3925387578156944e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.00011833086288840964;6.9626937890784705e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.00017177820285150733;6.9626937890784705e-06;;;;;;;;;;;;;;;;;;;;;
