error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.058146509523897286;0.058146509523897286;1.0;22.0;22.0;33.0;33.0;0.9562886346808421;expedient;[18, 16, 14, 12];0.0055;0.0055;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9174805537571877;0.9174805537571877;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.002879392637456273;0.006177022371426242;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.002879392637456273;0.00624165957659794;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.002879392637456273;0.002879392637456273;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.002879392637456273;0.002879392637456273;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.006177022371426242;0.002879392637456273;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.00624165957659794;0.002879392637456273;;;;;;;;;;;;;;;;;;;;;
IIXX;True;6.3740432013813255e-06;0.0001101066729061078;;;;;;;;;;;;;;;;;;;;;
IIXX;False;6.3740432013813255e-06;0.00016234054653982075;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.2748086402762653e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.2748086402762653e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;2.8203007618375495e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;2.8203007618375495e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;2.8203007618375495e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;2.8203007618375495e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;6.3740432013813255e-06;6.3740432013813255e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;6.3740432013813255e-06;6.3740432013813255e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;2.8203007618375495e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;2.8203007618375495e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;2.8203007618375495e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;2.8203007618375495e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.2748086402762653e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.2748086402762653e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0001101066729061078;6.3740432013813255e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.00016234054653982075;6.3740432013813255e-06;;;;;;;;;;;;;;;;;;;;;
