error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.04635327778971268;0.04635327778971268;1.0;14.0;14.0;23.025;23.025;0.9616034664892588;dyn_prot_4_14_1;[20, 18, 16, 14];0.00575;0.00575;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.9205114918033857;0.9205114918033857;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.002987377201510885;0.008418178941468374;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.002987377201510885;0.008752192372553442;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.002987377201510885;0.002987377201510885;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.002987377201510885;0.002987377201510885;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.008418178941468374;0.002987377201510885;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.008752192372553442;0.002987377201510885;;;;;;;;;;;;;;;;;;;;;
IIXX;True;6.931448638571941e-06;0.0016681043841441062;;;;;;;;;;;;;;;;;;;;;
IIXX;False;6.931448638571941e-06;0.0020863994359939;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.3862897277143882e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.3862897277143882e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;5.116256426776059e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;5.116256426776059e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;5.116256426776059e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;5.116256426776059e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;6.931448638571941e-06;6.931448638571941e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;6.931448638571941e-06;6.931448638571941e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;5.116256426776059e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;5.116256426776059e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;5.116256426776059e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;5.116256426776059e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.3862897277143882e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.3862897277143882e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;0.0016681043841441062;6.931448638571941e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.0020863994359939;6.931448638571941e-06;;;;;;;;;;;;;;;;;;;;;
