p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn;
1.0289418176051594e-05;True;IIXX;1.0289418176051594e-05;True;IIZZ;0.007;0.007;0.1
1.0289418176051594e-05;False;IIXX;1.0289418176051594e-05;False;IIZZ
1.0289418176051594e-05;True;IIYY;1.0289418176051594e-05;True;IIYY
1.0289418176051594e-05;False;IIYY;1.0289418176051594e-05;False;IIYY
2.057883635210319e-05;True;IIXY;2.057883635210319e-05;True;IIZY
2.057883635210319e-05;False;IIXY;2.057883635210319e-05;False;IIZY
4.590439102722617e-05;True;IIXZ;4.590439102722617e-05;True;IIZX
4.590439102722617e-05;False;IIXZ;4.590439102722617e-05;False;IIZX
4.590439102722617e-05;True;IIYZ;4.590439102722617e-05;True;IIYX
4.590439102722617e-05;False;IIYZ;4.590439102722617e-05;False;IIYX
0.00016417508271465361;True;IIZZ;0.00016417508271465361;True;IIXX
0.00022387138409848614;False;IIZZ;0.00022387138409848614;False;IIXX
0.0036457715178222355;True;IIIX;0.0036457715178222355;True;IIIZ
0.0036457715178222355;False;IIIX;0.0036457715178222355;False;IIIZ
0.0036457715178222355;True;IIIY;0.0036457715178222355;True;IIIY
0.0036457715178222355;False;IIIY;0.0036457715178222355;False;IIIY
0.007869052169124436;True;IIIZ;0.007869052169124436;True;IIIX
0.00794677205395496;False;IIIZ;0.00794677205395496;False;IIIX
0.06860774098895811;True;IIII;0.06860774098895811;True;IIII
0.9003384737112629;False;IIII;0.9003384737112629;False;IIII
