p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
3.3828945951151493e-06;True;IIXX;3.3828945951151493e-06;True;IIZZ;0.004;0.004;0.1
3.3828945951151493e-06;False;IIXX;3.3828945951151493e-06;False;IIZZ;;;
3.3828945951151493e-06;True;IIYY;3.3828945951151493e-06;True;IIYY;;;
3.3828945951151493e-06;False;IIYY;3.3828945951151493e-06;False;IIYY;;;
6.7657891902302986e-06;True;IIXY;6.7657891902302986e-06;True;IIZY;;;
6.7657891902302986e-06;False;IIXY;6.7657891902302986e-06;False;IIZY;;;
1.4865765867526882e-05;True;IIXZ;1.4865765867526882e-05;True;IIZX;;;
1.4865765867526882e-05;False;IIXZ;1.4865765867526882e-05;False;IIZX;;;
1.4865765867526882e-05;True;IIYZ;1.4865765867526882e-05;True;IIYX;;;
1.4865765867526882e-05;False;IIYZ;1.4865765867526882e-05;False;IIYX;;;
6.721761433333708e-05;True;IIZZ;6.721761433333708e-05;True;IIXX;;;
0.0001124290735104623;False;IIZZ;0.0001124290735104623;False;IIXX;;;
0.002104843340530972;True;IIIX;0.002104843340530972;True;IIIZ;;;
0.002104843340530972;False;IIIX;0.002104843340530972;False;IIIZ;;;
0.002104843340530972;True;IIIY;0.002104843340530972;True;IIIY;;;
0.002104843340530972;False;IIIY;0.002104843340530972;False;IIIY;;;
0.00448943361965455;True;IIIZ;0.00448943361965455;True;IIIX;;;
0.004542320109267972;False;IIIZ;0.004542320109267972;False;IIIX;;;
0.04735835205659839;True;IIII;0.04735835205659839;True;IIII;;;
0.9349241820445331;False;IIII;0.9349241820445331;False;IIII;;;
