error_config;lie;p;s;pg;pm;pn;p_dec;ts;p_bell;bell_dur;meas_dur;written_to;lde_attempts;total_duration;avg_lde;avg_duration
IIII;False;0.9123676515608751;0.9123676515608751;0.0001;0.0001;0.1;0.0;0.0;1.0;1.0;1.0;1.0;22.0;43.0;22.0;43.0
IIIX;False;5.329298668139054e-05;0.0003889367097337851;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;False;5.329298668139054e-05;5.329298668139054e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;False;0.0003889367097337851;5.329298668139054e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;False;2.1322573712982566e-09;7.344968099023963e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;False;4.264514742596513e-09;3.1813773712479375e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;False;3.1813773712479375e-08;3.1813773712479375e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;False;2.1322573712982566e-09;2.1322573712982566e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;False;3.1813773712479375e-08;4.264514742596513e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;False;7.344968099023963e-06;2.1322573712982566e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIII;True;0.08662809502121627;0.08662809502121627;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIX;True;5.329298668139054e-05;0.00038890611946637;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIY;True;5.329298668139054e-05;5.329298668139054e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIIZ;True;0.00038890611946637;5.329298668139054e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXX;True;2.1322573712982566e-09;5.749353336117948e-06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXY;True;4.264514742596513e-09;3.1813773712479375e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIXZ;True;3.1813773712479375e-08;3.1813773712479375e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYY;True;2.1322573712982566e-09;2.1322573712982566e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIYZ;True;3.1813773712479375e-08;4.264514742596513e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
IIZZ;True;5.749353336117948e-06;2.1322573712982566e-09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
