error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts
IIII;True;0.05458693729418385;0.05458693729418385;1.0;22.0;22.0;33.0;33.0;0.9587514900454893;expedient;[18, 16, 14, 12];0.005;0.005;None;0.1;False;1.0;0.0;0.0;True;False;inf;False;1.0
IIII;False;0.923261348568186;0.923261348568186;;;;;;;;;;;;;;;;;;;;;
IIIX;True;0.0026221134774482673;0.005614023198688806;;;;;;;;;;;;;;;;;;;;;
IIIX;False;0.0026221134774482673;0.005674595614440517;;;;;;;;;;;;;;;;;;;;;
IIIY;True;0.0026221134774482673;0.0026221134774482673;;;;;;;;;;;;;;;;;;;;;
IIIY;False;0.0026221134774482673;0.0026221134774482673;;;;;;;;;;;;;;;;;;;;;
IIIZ;True;0.005614023198688806;0.0026221134774482673;;;;;;;;;;;;;;;;;;;;;
IIIZ;False;0.005674595614440517;0.0026221134774482673;;;;;;;;;;;;;;;;;;;;;
IIXX;True;5.273808239673033e-06;9.458793278359031e-05;;;;;;;;;;;;;;;;;;;;;
IIXX;False;5.273808239673033e-06;0.00014443159043339704;;;;;;;;;;;;;;;;;;;;;
IIXY;True;1.0547616479346066e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXY;False;1.0547616479346066e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;True;2.3276694206053928e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIXZ;False;2.3276694206053928e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYX;True;0.0;2.3276694206053928e-05;;;;;;;;;;;;;;;;;;;;;
IIYX;False;0.0;2.3276694206053928e-05;;;;;;;;;;;;;;;;;;;;;
IIYY;True;5.273808239673033e-06;5.273808239673033e-06;;;;;;;;;;;;;;;;;;;;;
IIYY;False;5.273808239673033e-06;5.273808239673033e-06;;;;;;;;;;;;;;;;;;;;;
IIYZ;True;2.3276694206053928e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIYZ;False;2.3276694206053928e-05;0.0;;;;;;;;;;;;;;;;;;;;;
IIZX;True;0.0;2.3276694206053928e-05;;;;;;;;;;;;;;;;;;;;;
IIZX;False;0.0;2.3276694206053928e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;True;0.0;1.0547616479346066e-05;;;;;;;;;;;;;;;;;;;;;
IIZY;False;0.0;1.0547616479346066e-05;;;;;;;;;;;;;;;;;;;;;
IIZZ;True;9.458793278359031e-05;5.273808239673033e-06;;;;;;;;;;;;;;;;;;;;;
IIZZ;False;0.00014443159043339704;5.273808239673033e-06;;;;;;;;;;;;;;;;;;;;;
