p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
1.6230387358024687e-09;True;IXXX;1.6230387358024687e-09;True;IZZZ;0.0035;0.0035;0.1
1.6230387358024687e-09;False;IXXX;1.6230387358024687e-09;False;IZZZ;;;
1.6230387358024687e-09;True;IYYY;1.6230387358024687e-09;True;IYYY;;;
1.6230387358024687e-09;False;IYYY;1.6230387358024687e-09;False;IYYY;;;
4.869116207407408e-09;True;IXXY;4.869116207407408e-09;True;IZZY;;;
4.869116207407408e-09;False;IXXY;4.869116207407408e-09;False;IZZY;;;
4.869116207407408e-09;True;IXYY;4.869116207407408e-09;True;IZYY;;;
4.869116207407408e-09;False;IXYY;4.869116207407408e-09;False;IZYY;;;
1.0636398046716651e-08;True;IXXZ;1.0636398046716651e-08;True;IZZX;;;
1.0636398046716651e-08;False;IXXZ;1.0636398046716651e-08;False;IZZX;;;
1.0636398046716651e-08;True;IYYZ;1.0636398046716651e-08;True;IYYX;;;
1.0636398046716651e-08;False;IYYZ;1.0636398046716651e-08;False;IYYX;;;
2.1272796093433302e-08;True;IXYZ;2.1272796093433302e-08;True;IZYX;;;
2.1272796093433302e-08;False;IXYZ;2.1272796093433302e-08;False;IZYX;;;
2.5929495968569853e-06;True;IIXX;2.5929495968569853e-06;True;IIZZ;;;
2.5929495968569853e-06;False;IIXX;2.5929495968569853e-06;False;IIZZ;;;
2.5929495968569853e-06;True;IIYY;2.5929495968569853e-06;True;IIYY;;;
2.5929495968569853e-06;False;IIYY;2.5929495968569853e-06;False;IIYY;;;
5.1858991937139705e-06;True;IIXY;5.1858991937139705e-06;True;IIZY;;;
5.1858991937139705e-06;False;IIXY;5.1858991937139705e-06;False;IIZY;;;
1.1374867968245776e-05;True;IIXZ;1.1374867968245776e-05;True;IIZX;;;
1.1374867968245776e-05;False;IIXZ;1.1374867968245776e-05;False;IIZX;;;
1.1374867968245776e-05;True;IIYZ;1.1374867968245776e-05;True;IIYX;;;
1.1374867968245776e-05;False;IIYZ;1.1374867968245776e-05;False;IIYX;;;
5.5337161047356144e-05;True;IIZZ;5.5337161047356144e-05;True;IIXX;;;
9.830742198846734e-05;False;IIZZ;9.830742198846734e-05;False;IIXX;;;
0.0018448579661126225;True;IIIX;0.0018448579661126225;True;IIIZ;;;
0.0018448579661126225;False;IIIX;0.0018448579661126225;False;IIIZ;;;
0.0018448579661126225;True;IIIY;0.0018448579661126225;True;IIIY;;;
0.0018448579661126225;False;IIIY;0.0018448579661126225;False;IIIY;;;
0.0039278075386429126;True;IIIZ;0.0039278075386429126;True;IIIX;;;
0.003977072218289572;False;IIIZ;0.003977072218289572;False;IIIX;;;
0.04368910409254537;True;IIII;0.04368910409254537;True;IIII;;;
0.9408065855624425;False;IIII;0.9408065855624425;False;IIII;;;
