L,p,GHZ_success,N,success
8,0.004,1.1,60000.0,59545.0
8,0.005,1.1,60000.0,58301.0
8,0.0055,1.1,49992.0,47641.0
8,0.006,1.1,49992.0,46310.0
8,0.0065,1.1,49992.0,44532.0
12,0.004,1.1,59976.0,59796.0
12,0.005,1.1,59976.0,58727.0
12,0.0055,1.1,49992.0,47627.0
12,0.006,1.1,49992.0,45288.0
12,0.0065,1.1,49992.0,41869.0
