L,p,GHZ_success,N,success
8,0.00725,1.1,10008.0,1791.0
8,0.0075,1.1,10008.0,1411.0
8,0.00775,1.1,10008.0,1158.0
8,0.008,1.1,10008.0,939.0
12,0.00725,1.1,14016.0,3304.0
12,0.0075,1.1,14016.0,2358.0
12,0.00775,1.1,14016.0,1702.0
12,0.008,1.1,14016.0,1371.0
16,0.00725,1.1,10080.0,2586.0
16,0.0075,1.1,14070.0,2494.0
16,0.00775,1.1,10080.0,1148.0
16,0.008,1.1,10080.0,899.0
20,0.00725,1.1,10074.0,2791.0
20,0.0075,1.1,14078.0,2402.0
20,0.00775,1.1,14078.0,1507.0
20,0.008,1.1,10074.0,823.0
