error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
YIZX;False;0.0015296332310225848;0.0015512081393617644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIZX;True;0.0010081595121357717;0.0010220750183838104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIZY;False;0.0015296332310225848;0.0010954173408505641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIZY;True;0.0010081595121357717;0.0016892422834969883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIZZ;False;0.00023927584308750105;0.0010954173408505641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YIZZ;True;0.00023927584308750105;0.0016892422834969883;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXII;False;0.0031840107098029583;0.004306495818132046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXII;True;0.0020539863374540433;0.0067389094422377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIX;False;0.001096741715121135;0.0002398107143820912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIX;True;0.0016907511544208209;0.0002398107143820912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIY;False;0.001096741715121135;0.0015296337372619026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIY;True;0.0016907511544208209;0.0010081600183750904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIZ;False;0.0016091683715109449;0.0015296337372619026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXIZ;True;0.0010608920850179405;0.0010081600183750904;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXI;False;0.0010951355542526272;0.00023885504134480405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXI;True;0.001688740540397568;0.00023885504134480405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXX;False;0.0005663446433830565;0.0002541905831125949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXX;True;0.0003747144481900129;0.0002541905831125949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXY;False;0.0005663446433830565;0.0001085987216243517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXY;True;0.0003747144481900129;0.0001085987216243517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXZ;False;6.185706748034645e-05;0.0001085987216243517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXXZ;True;6.185706748034645e-05;0.0001085987216243517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYI;False;0.0010951355542526272;0.001551208525728598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYI;True;0.001688740540397568;0.0010220754047506444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYX;False;0.0005663446433830565;0.0001108501123858725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYX;True;0.0003747144481900129;0.0001108501123858725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYY;False;0.0005663446433830565;6.211167431025217e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYY;True;0.0003747144481900129;6.211167431025217e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYZ;False;6.185706748034645e-05;6.211167431025217e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXYZ;True;6.185706748034645e-05;6.211167431025217e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXZI;False;0.0016091682587252103;0.001551208525728598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXZI;True;0.0010608919722322062;0.0010220754047506444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXZX;False;6.152690683732078e-05;0.0001108501123858725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXZX;True;6.152690683732078e-05;0.0001108501123858725;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YXZY;False;6.152690683732078e-05;6.211167431025217e-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
