L,p,GHZ_success,N,success
8,0.0055,0.99,20016.0,10207.0
8,0.00575,0.99,10008.0,4437.0
8,0.006,0.99,10008.0,3891.0
8,0.00625,0.99,10008.0,3468.0
8,0.0065,0.99,10008.0,3055.0
8,0.00675,0.99,10008.0,2812.0
12,0.0055,0.99,40032.0,23975.0
12,0.00575,0.99,10008.0,5018.0
12,0.006,0.99,10008.0,4131.0
12,0.00625,0.99,10008.0,3443.0
12,0.0065,0.99,10008.0,2929.0
12,0.00675,0.99,10008.0,2777.0
