error_config;lie;p;s;written_to;total_lde_attempts;avg_lde_attempts;total_duration;avg_duration;ghz_fidelity;protocol_name;qubit_order;pg;pm;pm_1;pn;decoherence;p_bell_success;pulse_duration;network_noise_type;no_single_qubit_error;basis_transformation_noise;cut_off_time;probabilistic;fixed_lde_attempts;T1_idle;T1_idle_electron;T1_lde;T2_idle;T2_idle_electron;T2_lde;int_stab_682;int_ghz_682;int_dur_682;dur_99
XXYY;True;1.5170370370370419e-10;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XYYY;False;1.0113580246913624e-10;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
XYYY;True;1.0113580246913624e-10;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YYYY;False;2.528395061728406e-11;2.528395061728406e-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
YYYY;True;2.528395061728406e-11;2.528395061728406e-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZYYY;False;0.0;1.0113580246913624e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZYYY;True;0.0;1.0113580246913624e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZYY;False;0.0;1.5170370370370419e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZYY;True;0.0;1.5170370370370419e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZZY;False;0.0;1.0113580246913624e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZZY;True;0.0;1.0113580246913624e-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZZZ;False;0.0;2.528395061728406e-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZZZZ;True;0.0;2.528395061728406e-11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
