p_prob;p_lie;p_error;s_prob;s_lie;s_error;pg;pm;pn
2.763861728395063e-12;True;XXXX;2.763861728395063e-12;True;ZZZZ;0.00575;0.00575;0.1
2.763861728395063e-12;False;XXXX;2.763861728395063e-12;False;ZZZZ;;;
2.763861728395063e-12;True;YYYY;2.763861728395063e-12;True;YYYY;;;
2.763861728395063e-12;False;YYYY;2.763861728395063e-12;False;YYYY;;;
1.1055446913580253e-11;True;XXXY;1.1055446913580253e-11;True;ZZZY;;;
1.1055446913580253e-11;False;XXXY;1.1055446913580253e-11;False;ZZZY;;;
1.1055446913580253e-11;True;XYYY;1.1055446913580253e-11;True;ZYYY;;;
1.1055446913580253e-11;False;XYYY;1.1055446913580253e-11;False;ZYYY;;;
1.6583170370370378e-11;True;XXYY;1.6583170370370378e-11;True;ZZYY;;;
1.6583170370370378e-11;False;XXYY;1.6583170370370378e-11;False;ZZYY;;;
7.1879631802469165e-09;True;IXXX;7.1879631802469165e-09;True;IZZZ;;;
7.1879631802469165e-09;False;IXXX;7.1879631802469165e-09;False;IZZZ;;;
7.1879631802469165e-09;True;IYYY;7.1879631802469165e-09;True;IYYY;;;
7.1879631802469165e-09;False;IYYY;7.1879631802469165e-09;False;IYYY;;;
2.156388954074075e-08;True;IXXY;2.156388954074075e-08;True;IZZY;;;
2.156388954074075e-08;False;IXXY;2.156388954074075e-08;False;IZZY;;;
2.156388954074075e-08;True;IXYY;2.156388954074075e-08;True;IZYY;;;
2.156388954074075e-08;False;IXYY;2.156388954074075e-08;False;IZYY;;;
4.7445432491899155e-08;True;IXXZ;4.7445432491899155e-08;True;IZZX;;;
4.7445432491899155e-08;False;IXXZ;4.7445432491899155e-08;False;IZZX;;;
4.7445432491899155e-08;True;IYYZ;4.7445432491899155e-08;True;IYYX;;;
4.7445432491899155e-08;False;IYYZ;4.7445432491899155e-08;False;IYYX;;;
9.489086498379831e-08;True;IXYZ;9.489086498379831e-08;True;IZYX;;;
9.489086498379831e-08;False;IXYZ;9.489086498379831e-08;False;IZYX;;;
6.962693789078474e-06;True;IIXX;6.962693789078474e-06;True;IIZZ;;;
6.962693789078474e-06;False;IIXX;6.962693789078474e-06;False;IIZZ;;;
6.962693789078474e-06;True;IIYY;6.962693789078474e-06;True;IIYY;;;
6.962693789078474e-06;False;IIYY;6.962693789078474e-06;False;IIYY;;;
1.3925387578156948e-05;True;IIXY;1.3925387578156948e-05;True;IIZY;;;
1.3925387578156948e-05;False;IIXY;1.3925387578156948e-05;False;IIZY;;;
3.084778249929676e-05;True;IIXZ;3.084778249929676e-05;True;IIZX;;;
3.084778249929676e-05;False;IIXZ;3.084778249929676e-05;False;IIZX;;;
3.084778249929676e-05;True;IIYZ;3.084778249929676e-05;True;IIYX;;;
3.084778249929676e-05;False;IIYZ;3.084778249929676e-05;False;IIYX;;;
0.0001183308628882585;True;IIZZ;0.0001183308628882585;True;IIXX;;;
0.00017177820285145182;False;IIZZ;0.00017177820285145182;False;IIXX;;;
0.00300769198327935;True;IIIX;0.00300769198327935;True;IIIZ;;;
0.00300769198327935;False;IIIX;0.00300769198327935;False;IIIZ;;;
0.00300769198327935;True;IIIY;0.00300769198327935;True;IIIY;;;
0.00300769198327935;False;IIIY;0.00300769198327935;False;IIIY;;;
0.006458705875561081;True;IIIZ;0.006458705875561081;True;IIIX;;;
0.00652543100764056;False;IIIZ;0.00652543100764056;False;IIIX;;;
0.05991266662206734;True;IIII;0.05991266662206734;True;IIII;;;
0.9146027321562497;False;IIII;0.9146027321562497;False;IIII;;;
