decoherence;lde_success;probabilistic;measurement_duration;lde_duration;use_swap_gates;network_noise_type;T1_idle;T2_idle;T1_lde;T2_lde;T1_idle_electron;T2_idle_electron;gate;pg;pm;pn;pm_1;fixed_lde_attempts;pulse_duration;noise;basis_transformation_noise;no_single_qubit_error;avg_fidelity;iterations;dur_std;avg_duration;fid_int
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.05;0;0.0;True;False;True;0.3436932805110133;49992.0;(0.036842, 0.136804);0.08640702072331573;(0.06312379614756156, 0.338491769944972)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.05;0.01;0.05;0.05;2000;0.001;True;False;True;0.3425596607931186;49992.0;(0.051504, 0.17600400000000002);0.11395112650024006;(0.06316925500573603, 0.3330939233418269)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.05;0;0.0;True;False;True;0.3497028464463897;49992.0;(0.03703, 0.13775800000000002);0.08670481377020324;(0.06313668164794434, 0.3554898778047909)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.01;0.01;0.05;0.05;2000;0.001;True;False;True;0.34919217936522473;49992.0;(0.051504, 0.17600400000000002);0.11443725460073614;(0.06319140447729413, 0.3518218936830204)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.05;0;0.0;True;False;True;0.35066809731208465;49992.0;(0.037062, 0.137082);0.0868069020243239;(0.06316230133163539, 0.35845785564410904)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.005;0.01;0.05;0.05;2000;0.001;True;False;True;0.3515360708215034;49992.0;(0.051504, 0.17600400000000002);0.1144887455192831;(0.06317077169290233, 0.3618811130293339)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.001;0.01;0.05;0.05;0;0.0;True;False;True;0.3517269285130803;49992.0;(0.037006000000000004, 0.136854);0.08640436745879342;(0.06317333828956659, 0.36231212156649667)
True;0.0001;True;4e-06;6e-06;True;1;300.0;10.0;0.021;0.009;10000.0;1.0;cnot;0.001;0.01;0.05;0.05;2000;0.001;True;False;True;0.35180148981036663;49992.0;(0.051504, 0.17600400000000002);0.11448880960953754;(0.06316316982691207, 0.3605391472253803)
